Datum,Eroeffnung,Schluss,Tageshoch,Tagestief,Umsatz,Umsatz in Stueck
23-12-12,11.015,10.615,11.115,10.51,484681,45199
23-12-11,11.26,11.085,11.40,10.75,1354560,124164
23-12-08,11.33,11.28,11.475,11.00,1423146,125719
23-12-07,11.81,11.615,11.81,11.52,366824,31625
23-12-06,11.635,11.88,11.95,11.535,396316,33446
23-12-05,11.405,11.615,11.655,11.24,358671,31232
23-12-04,11.395,11.36,11.565,11.275,366220,32009
23-12-01,10.96,11.31,11.405,10.96,327005,29009
23-11-30,10.85,10.88,10.965,10.79,161184,14814
23-11-29,10.51,10.84,10.98,10.495,523108,48184
23-11-28,10.77,10.485,10.82,10.395,325143,30799
23-11-27,10.825,10.80,10.905,10.68,173700,16045
23-11-24,10.845,10.785,10.845,10.685,145428,13539
23-11-23,10.83,10.825,11.185,10.70,207301,19115
23-11-22,10.97,10.89,11.10,10.65,606414,55511
23-11-21,11.92,11.045,12.065,10.75,1805445,161430
23-11-20,11.795,11.90,12.095,11.645,1878200,156969
23-11-17,10.93,11.735,11.735,10.895,1121261,97811
23-11-16,11.185,10.81,11.34,10.65,2118699,193200
23-11-15,10.35,11.05,11.325,10.315,6814682,630728
23-11-14,10.30,10.18,10.39,9.99,1676937,163611
23-11-13,9.51,10.215,10.31,9.45,1348448,136711
23-11-10,9.678,9.434,9.79,9.30,320966,33807
23-11-09,9.232,9.64,9.748,9.10,888671,94125
23-11-08,9.352,9.206,9.688,9.10,744150,79535
23-11-07,9.298,9.27,9.46,8.89,794219,87307
23-11-06,9.80,9.36,9.97,9.25,1114165,116455
23-11-03,8.90,9.636,9.79,8.88,1756620,184840
23-11-02,8.314,8.83,8.96,8.298,1428146,163208
23-11-01,8.504,8.302,8.528,8.194,681668,81932
